_geojson,fid,nimi,tonnia_vienti,tonnia_tuonti
"{""type"":""Feature"",""properties"":{""fid"":1,""nimi"":""Eurajoki"",""tonnia_vienti"":85920,""tonnia_tuonti"":213262,""index"":0},""geometry"":{""type"":""Point"",""coordinates"":[21.48781,61.24682]}}",1,Eurajoki,85920,213262
"{""type"":""Feature"",""properties"":{""fid"":2,""nimi"":""Förby"",""tonnia_vienti"":10516,""tonnia_tuonti"":223134,""index"":1},""geometry"":{""type"":""Point"",""coordinates"":[22.86569,60.09882]}}",2,Förby,10516,223134
"{""type"":""Feature"",""properties"":{""fid"":3,""nimi"":""HaminaKotka"",""tonnia_vienti"":10386150,""tonnia_tuonti"":4709429,""index"":2},""geometry"":{""type"":""Point"",""coordinates"":[26.94052,60.46855]}}",3,HaminaKotka,10386150,4709429
"{""type"":""Feature"",""properties"":{""fid"":4,""nimi"":""Hanko"",""tonnia_vienti"":2592483,""tonnia_tuonti"":2160444,""index"":3},""geometry"":{""type"":""Point"",""coordinates"":[22.95667,59.82226]}}",4,Hanko,2592483,2160444
"{""type"":""Feature"",""properties"":{""fid"":5,""nimi"":""Helsinki"",""tonnia_vienti"":7377509,""tonnia_tuonti"":7193129,""index"":4},""geometry"":{""type"":""Point"",""coordinates"":[25.17551,60.22284]}}",5,Helsinki,7377509,7193129
"{""type"":""Feature"",""properties"":{""fid"":6,""nimi"":""Inkoo"",""tonnia_vienti"":864003,""tonnia_tuonti"":1012706,""index"":5},""geometry"":{""type"":""Point"",""coordinates"":[24.00769,60.04306]}}",6,Inkoo,864003,1012706
"{""type"":""Feature"",""properties"":{""fid"":7,""nimi"":""Kemiö"",""tonnia_vienti"":18505,""tonnia_tuonti"":34066,""index"":6},""geometry"":{""type"":""Point"",""coordinates"":[22.74995,60.1712]}}",7,Kemiö,18505,34066
"{""type"":""Feature"",""properties"":{""fid"":8,""nimi"":""Lappeenranta"",""tonnia_vienti"":37047,""tonnia_tuonti"":279423,""index"":7},""geometry"":{""type"":""Point"",""coordinates"":[28.32973,61.05645]}}",8,Lappeenranta,37047,279423
"{""type"":""Feature"",""properties"":{""fid"":9,""nimi"":""Naantali"",""tonnia_vienti"":1542843,""tonnia_tuonti"":4139181,""index"":8},""geometry"":{""type"":""Point"",""coordinates"":[22.0923,60.44687]}}",9,Naantali,1542843,4139181
"{""type"":""Feature"",""properties"":{""fid"":10,""nimi"":""Parainen"",""tonnia_vienti"":144023,""tonnia_tuonti"":331196,""index"":9},""geometry"":{""type"":""Point"",""coordinates"":[22.30066,60.29697]}}",10,Parainen,144023,331196
"{""type"":""Feature"",""properties"":{""fid"":11,""nimi"":""Pori"",""tonnia_vienti"":1934234,""tonnia_tuonti"":1553107,""index"":10},""geometry"":{""type"":""Point"",""coordinates"":[21.48514,61.59316]}}",11,Pori,1934234,1553107
"{""type"":""Feature"",""properties"":{""fid"":12,""nimi"":""Rauma"",""tonnia_vienti"":4162522,""tonnia_tuonti"":1588063,""index"":11},""geometry"":{""type"":""Point"",""coordinates"":[21.45215,61.12832]}}",12,Rauma,4162522,1588063
"{""type"":""Feature"",""properties"":{""fid"":13,""nimi"":""Sköldvik"",""tonnia_vienti"":8557615,""tonnia_tuonti"":12873862,""index"":12},""geometry"":{""type"":""Point"",""coordinates"":[25.5374,60.2941]}}",13,Sköldvik,8557615,12873862
"{""type"":""Feature"",""properties"":{""fid"":14,""nimi"":""Taalintehdas"",""tonnia_vienti"":4404,""tonnia_tuonti"":4620,""index"":13},""geometry"":{""type"":""Point"",""coordinates"":[22.50803,60.0204]}}",14,Taalintehdas,4404,4620
"{""type"":""Feature"",""properties"":{""fid"":15,""nimi"":""Turku"",""tonnia_vienti"":1122041,""tonnia_tuonti"":994114,""index"":14},""geometry"":{""type"":""Point"",""coordinates"":[22.22377,60.43468]}}",15,Turku,1122041,994114
"{""type"":""Feature"",""properties"":{""fid"":16,""nimi"":""Uusikaupunki"",""tonnia_vienti"":1454930,""tonnia_tuonti"":1024675,""index"":15},""geometry"":{""type"":""Point"",""coordinates"":[21.38951,60.797]}}",16,Uusikaupunki,1454930,1024675
